id,title,author,intro,tags,genre,series_count,view_count,recommend_count,link
16,선독점 일타 닥터 이진우,걸리버W,"아픈 환자의 살을 째서 수술하는 것만이 능사가 아니잖아?
의대 시절부터 내과적 치료를 신봉했던 이진우의 몸속에 천재 외과의가 들어왔다?
수술방에 거부감이 있는 이진우와 외과적 응급 수술에 미쳐있는 의학 일타강사의 편하지만은 않은 공존.","현대판타지,드라마,천재,의사,능력자","현대판타지, 드라마",105 회,"229,578","4,672",https://novel.munpia.com/425399
17,선독점 명군이 되어보세!,슈타인호프,"""할아버지, 도대체 무슨 물건을 물려주신 거예요?!""

가문에서 대대로 전해 내려오던 보물. 이게 뭐라고?

“진짜일 리가 없지. 이게 진짜라면 4백 년 동안 아무도 성공 못 했을 리가 없어. 다 거짓말, 전해 내려오는 이야기일 뿐이야. 그리고 13대조 할아버지는 뭐 그리 간이 작담. 적어도 왕 자리에 오르고 싶다는 소원 정도는 빌어야지.”

세상에, 내가 이걸 진지하게 믿었으면 이런 소원 빌지도 않았을 거라고요!

* 연재는 매일 0740에 올라갑니다.",,"대체역사, 전쟁·밀리터리","2,293 회","13,382,562","458,811",https://novel.munpia.com/91668
18,선독점 무료 게임에 환생했다,타자씨,물론 나는 과금했다,"게임시스템,던전,마법,스팀펑크,시스템,이능력,이세계,중세,환생,고인물","판타지, 퓨전",73 회,"601,115","17,721",https://novel.munpia.com/430037
19,선독점 패시브 스킬로 강해진다,금고아,"오로지 패시브 스킬만 투자한 한유일.
우직하게 패시브 스킬과 검으로 강해진다.","퓨전,게임","현대판타지, 퓨전",80 회,"425,379","6,906",https://novel.munpia.com/431101
20,선독점 혈귀무쌍,강민성,"마공을 익힌 금의위의 거침없는 무림심판.

[나는 어떠한 부작용도 없이 마공을 익힐 수 있다.]

#마공의 대가 #살길을 보는 눈 #황궁무협 #무림말살지계","판타지,무협,천마,사이다,흡혈귀,천재,음모,초능력,노력가,능력자","무협, 판타지",388 회,"2,402,992","60,794",https://novel.munpia.com/378942
21,선독점 2000조 재벌가 첩 자식,폰작가,"""첩 자식 팔자는 아주 고약해…""
첩의 자식이란 이유만으로 한직을 떠돌던 설강현.
모든 걸 뒤엎을 수 있는 절호의 기회가 찾아왔다..","판타지,현대판타지,드라마,경영,재벌,복수,부동산,음모,회귀","판타지, 현대판타지",67 회,"849,112","16,443",https://novel.munpia.com/432128
22,선독점 나 혼자 준비하는 아포칼립스,태영(太影),"한달 뒤, 아포칼립스가 열린다.
그걸 아는 것은 세상에 오직 나뿐이다.","현대판타지,사이다,생존,서바이벌,시스템,아포칼립스,이능력,먼치킨,나혼자,상태창","현대판타지, 판타지",43 회,"493,888","10,928",https://novel.munpia.com/433992
23,선독점 1953 맨손 재벌,knoxk,"먼저 간 아내와 아들을 만나기 위해
1953년으로 회귀했다.
처음부터 재벌이 될 생각은 없었는데 사업이 흥한다.","판타지,현대판타지,대체역사,드라마,경영,재벌,회귀,사업가","현대판타지, 대체역사",495 회,"1,351,243","49,282",https://novel.munpia.com/337226
24,선독점 인생을 리메이크하는 천재 애니메이션 감독,드림판다,"최고의 애니메이션을 만들고 싶었지만 끝내 성공하지 못했다.
30년 동안 수십억 원을 날리며 실패한 대가는 허무한 죽음뿐!
그러나 처절한 절망과 후회 속에서 눈을 뜬 순간 깨닫는다.
30년을 거슬러 1995년, 20대 초반으로 회귀했다는 사실을!
30년의 경험과 미래지식을 갖춘 천재 애니메이션 감독이 2회차 인생을 시작한다!

*이 작품에 등장하는 인명, 지명, 사명 일체는 실제와 무관합니다","현대판타지,대체역사,재벌,천재,주식,회귀,감독,작가,투자가,고인물","현대판타지, 대체역사",157 회,"402,933","12,008",https://novel.munpia.com/414607
25,선독점 선수 능력이 다 보임,탈주병,"갑자기 모든 게 보이기 시작했다.
아, 저 선수 저렇게 쓰는 거 아닌데.","현대판타지,스포츠,시스템,천재,축구,감독","스포츠, 현대판타지",152 회,"2,206,931","68,258",https://novel.munpia.com/419484
